任务ID,来源,任务类型,任务域,子类,任务名称,任务层级,主验证层,T映射,PA映射,G映射,优先级,任务性质,推荐场景/触发,核心证据,通过判据,典型失败信号,失败优先追因,关联旧场景/备注
GEN-001,新增-v2,GEN,一般性判据,定义性,对象集合可区分,一般,T/PA,T1,PA1,G0,P0,一般,抽象场景：对象集合可区分,目标/公理/要求文档 + 单场景记录 + 汇总矩阵,在适用前提下可形成清晰、无矛盾、可复验的满足性判定。,无法归类、判定冲突、根因链断裂、同一对象双重解释。,上位公理缺口、真源未钉死、终局未定义、P(s) 未声明。,
GEN-002,新增-v2,GEN,一般性判据,定义性,状态空间全定义,一般,T/PA,T1,PA1,G0,P0,一般,抽象场景：状态空间全定义,目标/公理/要求文档 + 单场景记录 + 汇总矩阵,在适用前提下可形成清晰、无矛盾、可复验的满足性判定。,无法归类、判定冲突、根因链断裂、同一对象双重解释。,上位公理缺口、真源未钉死、终局未定义、P(s) 未声明。,
GEN-003,新增-v2,GEN,一般性判据,定义性,演化算子全定义,一般,T/PA,T1,PA1,G0,P0,一般,抽象场景：演化算子全定义,目标/公理/要求文档 + 单场景记录 + 汇总矩阵,在适用前提下可形成清晰、无矛盾、可复验的满足性判定。,无法归类、判定冲突、根因链断裂、同一对象双重解释。,上位公理缺口、真源未钉死、终局未定义、P(s) 未声明。,
GEN-004,新增-v2,GEN,一般性判据,定义性,相互作用路径明确定义,一般,T/PA,T1,PA1,G0,P0,一般,抽象场景：相互作用路径明确定义,目标/公理/要求文档 + 单场景记录 + 汇总矩阵,在适用前提下可形成清晰、无矛盾、可复验的满足性判定。,无法归类、判定冲突、根因链断裂、同一对象双重解释。,上位公理缺口、真源未钉死、终局未定义、P(s) 未声明。,
GEN-005,新增-v2,GEN,一般性判据,定义性,时间轴与事件序列可表达,一般,T/PA,T1,PA1,G0,P0,一般,抽象场景：时间轴与事件序列可表达,目标/公理/要求文档 + 单场景记录 + 汇总矩阵,在适用前提下可形成清晰、无矛盾、可复验的满足性判定。,无法归类、判定冲突、根因链断裂、同一对象双重解释。,上位公理缺口、真源未钉死、终局未定义、P(s) 未声明。,
GEN-006,新增-v2,GEN,一般性判据,定义性,主体/环境边界不混淆,一般,T/PA,T1,PA1,G0,P0,一般,抽象场景：主体/环境边界不混淆,目标/公理/要求文档 + 单场景记录 + 汇总矩阵,在适用前提下可形成清晰、无矛盾、可复验的满足性判定。,无法归类、判定冲突、根因链断裂、同一对象双重解释。,上位公理缺口、真源未钉死、终局未定义、P(s) 未声明。,
GEN-007,新增-v2,GEN,一般性判据,定义性,异常态仍可描述,一般,T/PA,T1,PA1,G0,P0,一般,抽象场景：异常态仍可描述,目标/公理/要求文档 + 单场景记录 + 汇总矩阵,在适用前提下可形成清晰、无矛盾、可复验的满足性判定。,无法归类、判定冲突、根因链断裂、同一对象双重解释。,上位公理缺口、真源未钉死、终局未定义、P(s) 未声明。,
GEN-008,新增-v2,GEN,一般性判据,定义性,恢复态仍可回到定义域,一般,T/PA,T1,PA1,G0,P0,一般,抽象场景：恢复态仍可回到定义域,目标/公理/要求文档 + 单场景记录 + 汇总矩阵,在适用前提下可形成清晰、无矛盾、可复验的满足性判定。,无法归类、判定冲突、根因链断裂、同一对象双重解释。,上位公理缺口、真源未钉死、终局未定义、P(s) 未声明。,
GEN-009,新增-v2,GEN,一般性判据,合法性,durable 真源唯一,一般,T/PA,T2,PA5,G1,P0,一般,抽象场景：durable 真源唯一,目标/公理/要求文档 + 单场景记录 + 汇总矩阵,在适用前提下可形成清晰、无矛盾、可复验的满足性判定。,无法归类、判定冲突、根因链断裂、同一对象双重解释。,上位公理缺口、真源未钉死、终局未定义、P(s) 未声明。,
GEN-010,新增-v2,GEN,一般性判据,合法性,ephemeral 影子状态不升格为真源,一般,T/PA,T2,PA5,G1,P0,一般,抽象场景：ephemeral 影子状态不升格为真源,目标/公理/要求文档 + 单场景记录 + 汇总矩阵,在适用前提下可形成清晰、无矛盾、可复验的满足性判定。,无法归类、判定冲突、根因链断裂、同一对象双重解释。,上位公理缺口、真源未钉死、终局未定义、P(s) 未声明。,
GEN-011,新增-v2,GEN,一般性判据,合法性,跨粒子无旁路写,一般,T/PA,T2,PA5,G1,P0,一般,抽象场景：跨粒子无旁路写,目标/公理/要求文档 + 单场景记录 + 汇总矩阵,在适用前提下可形成清晰、无矛盾、可复验的满足性判定。,无法归类、判定冲突、根因链断裂、同一对象双重解释。,上位公理缺口、真源未钉死、终局未定义、P(s) 未声明。,
